,Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,Decade
241,2186,1978-10-24,The Wiz,24000000.0,13000000.0,13000000.0,1970
242,912,1978-12-15,Superman,55000000.0,300200000.0,134218018.0,1970
243,4026,1978-12-22,Force 10 from Navarone,5000000.0,7100000.0,7100000.0,1970
244,2814,1979-01-01,The Deer Hunter,15000000.0,50000000.0,50000000.0,1970
245,3885,1979-02-02,The First Great Train Robbery,6000000.0,391942.0,391942.0,1970
246,4717,1979-04-20,Dawn of the Dead,1500000.0,55000000.0,5100000.0,1970
247,3106,1979-05-25,The Prisoner of Zenda,12500000.0,7000000.0,7000000.0,1970
248,3510,1979-05-25,Alien,9000000.0,203630630.0,80930630.0,1970
249,3160,1979-06-15,Prophecy,12000000.0,22673340.0,22673340.0,1970
250,3598,1979-06-22,The Muppet Movie,8000000.0,76657000.0,76657000.0,1970
251,3604,1979-06-22,Escape from Alcatraz,8000000.0,43000000.0,43000000.0,1970
252,1696,1979-06-29,Moonraker,31000000.0,210300000.0,70300000.0,1970
253,5266,1979-06-30,Dolphin,170000.0,14000.0,14000.0,1970
254,3573,1979-07-11,The Rose,8500000.0,29200000.0,29200000.0,1970
255,1521,1979-07-12,Star Trek: The Motion Picture,35000000.0,139000000.0,82258456.0,1970
256,1691,1979-08-15,Apocalypse Now,31500000.0,81250488.0,78800000.0,1970
257,4173,1979-08-17,The Life of Brian,4000000.0,20008693.0,20008693.0,1970
258,4449,1979-10-17,The Black Stallion,2700000.0,37799643.0,37799643.0,1970
259,2759,1979-10-19,Meteor,16000000.0,8400000.0,8400000.0,1970
260,1676,1979-12-14,1941,32000000.0,94875000.0,34175000.0,1970
261,2361,1979-12-21,The Black Hole,20000000.0,35841901.0,35841901.0,1970
262,1624,1980-01-01,Lion of the Desert,35000000.0,1500000.0,1500000.0,1980
263,3805,1980-01-01,Dressed to Kill,6500000.0,31899000.0,31899000.0,1980
264,4279,1980-01-01,Terror Train,3500000.0,8000000.0,8000000.0,1980
265,5144,1980-01-01,Maniac,350000.0,10000000.0,10000000.0,1980
266,4846,1980-01-02,The Fog,1000000.0,21378361.0,21378361.0,1980
267,1414,1980-01-08,Raise the Titanic,40000000.0,7000000.0,7000000.0,1980
268,3952,1980-03-10,Somewhere in Time,5100000.0,9709597.0,9709597.0,1980
269,3977,1980-03-10,The Elephant Man,5000000.0,26010864.0,26010864.0,1980
270,5229,1980-03-21,Mad Max,200000.0,99750000.0,8750000.0,1980
271,4264,1980-04-07,Airplane!,3500000.0,83453539.0,83453539.0,1980
272,1573,1980-05-12,Flash Gordon,35000000.0,27107960.0,27107960.0,1980
273,3374,1980-05-16,The Long Riders,10000000.0,15198912.0,15198912.0,1980
274,5132,1980-05-16,Home Movies,400000.0,89134.0,89134.0,1980
275,2196,1980-05-21,Star Wars Ep. V: The Empire Strikes Back,23000000.0,534171960.0,290271960.0,1980
276,2536,1980-05-23,The Shining,19000000.0,44391156.0,44017374.0,1980
277,3929,1980-06-06,Galaxina,5500000.0,4865000.0,4865000.0,1980
278,2261,1980-06-13,The Island,22000000.0,15716828.0,15716828.0,1980
279,1941,1980-06-20,The Blues Brothers,27000000.0,57229890.0,57229890.0,1980
280,2490,1980-06-20,Can't Stop the Music,20000000.0,2000000.0,2000000.0,1980
281,4115,1980-06-20,The Blue Lagoon,4500000.0,47923795.0,47923795.0,1980
282,2805,1980-07-03,Coal Miner's Daughter,15000000.0,67182787.0,67182787.0,1980
283,3836,1980-07-25,Caddyshack,6000000.0,39846344.0,39846344.0,1980
284,5044,1980-09-05,Friday the 13th,550000.0,59754601.0,39754601.0,1980
285,3833,1980-09-19,Ordinary People,6000000.0,52302978.0,52302978.0,1980
286,5301,1980-10-05,Penitentiary,100000.0,287000.0,287000.0,1980
287,2804,1980-10-10,Private Benjamin,15000000.0,69847348.0,69847348.0,1980
288,2600,1980-11-14,Raging Bull,18000000.0,23380203.0,23380203.0,1980
289,1238,1980-11-19,Heaven's Gate,44000000.0,3484523.0,3484331.0,1980
290,2340,1980-12-12,Popeye,20000000.0,49823037.0,49823037.0,1980
291,2707,1981-01-01,Roar,17000000.0,2110050.0,2110050.0,1980
292,5185,1981-01-05,Graduation Day,250000.0,23894000.0,23894000.0,1980
293,3177,1981-03-20,The Postman Always Rings Twice,12000000.0,44200000.0,12200000.0,1980
294,1642,1981-04-12,Reds,33500000.0,50000000.0,50000000.0,1980
295,4784,1981-04-30,Friday the 13th Part 2,1250000.0,21722776.0,21722776.0,1980
296,2617,1981-05-22,The Legend of the Lone Ranger,18000000.0,13400000.0,13400000.0,1980
297,3804,1981-05-22,The Four Seasons,6500000.0,42488161.0,42488161.0,1980
298,3143,1981-06-11,Time Bandits,12000000.0,37400000.0,37400000.0,1980
299,969,1981-06-19,Superman II,54000000.0,108185706.0,108185706.0,1980
300,1896,1981-06-26,For Your Eyes Only,28000000.0,195300000.0,54800000.0,1980
301,2625,1981-06-26,Dragonslayer,18000000.0,6000000.0,6000000.0,1980
302,3306,1981-06-26,Stripes,10000000.0,85300000.0,85300000.0,1980
303,3504,1981-07-08,Heavy Metal,9300000.0,19571091.0,19571091.0,1980
304,2615,1981-07-24,Blow Out,18000000.0,13747234.0,13747234.0,1980
305,2409,1981-07-31,Under the Rainbow,20000000.0,18826490.0,18826490.0,1980
306,4370,1981-08-28,Gallipoli,3000000.0,5732587.0,5732587.0,1980
307,2971,1981-09-12,Taps,14000000.0,35856053.0,35856053.0,1980
308,3992,1981-09-18,Mommie Dearest,5000000.0,25032000.0,19032000.0,1980
309,3922,1981-09-25,Chariots of Fire,5500000.0,57467731.0,57159946.0,1980
310,4001,1981-10-04,Nighthawks,5000000.0,19600000.0,14600000.0,1980
311,4848,1981-10-04,The Howling,1000000.0,17985000.0,17985000.0,1980
312,3840,1981-10-07,Escape from New York,6000000.0,25244700.0,25244700.0,1980
313,4474,1981-10-30,Halloween II,2500000.0,25533818.0,25533818.0,1980
314,3427,1981-11-02,Sphinx,10000000.0,11400000.0,2000000.0,1980
315,3201,1981-11-13,The Pursuit of D.B. Cooper,12000000.0,2104164.0,2104164.0,1980
316,2306,1981-12-06,Raiders of the Lost Ark,20000000.0,389925971.0,248159971.0,1980
317,2843,1981-12-06,Clash of the Titans,15000000.0,44400000.0,30000000.0,1980
318,3256,1981-12-06,History of the World: Part I,11000000.0,31672000.0,31672000.0,1980
